overall_rank,team_id,team,conference,scheduled_games,score_model_rating,fpi,fpi_rank,fpi_projected_wins,consensus_rating,average_opponent_rating,expected_regular_wins,expected_regular_points,conference_title_game_probability,conference_title_probability,expected_conference_title_points,playoff_probability,expected_playoff_wins,expected_playoff_points,expected_postseason_points,expected_points_before_playoff,national_title_probability,expected_fantasy_points,median_fantasy_points,p10_fantasy_points,p90_fantasy_points,schedule_difficulty_rank,pre_playoff_rank,playoff_rank_lift,playoff_value_share
1,87,Notre Dame,FBS Indep.,12,1684.1774226656753,25.856,3,10.706,1758.56,1528.4875,10.6758462866222,10.6758462866222,0.0,0.0,0.0,0.87505,1.24,1.24,1.24,10.6758462866222,0.14705,11.9158462866222,12.0,9.0,14.0,61,2,1,0.10406310808088683
2,2641,Texas Tech,Big 12,12,1635.5308344856726,20.016,10,10.814,1700.1599999999999,1510.7416666666666,10.341275649493829,10.341275649493829,0.80295,0.57645,0.57645,0.79295,0.74685,0.74685,1.3233000000000001,10.917725649493828,0.05375,11.664575649493829,12.0,9.0,14.0,68,1,-1,0.06402718988173468
3,194,Ohio State,Big Ten,12,1698.257164533414,28.676,1,10.211,1786.76,1584.3149999999998,9.776662962679291,9.776662962679291,0.5557,0.36725,0.36725,0.74155,1.19395,1.19395,1.5612000000000001,10.143912962679291,0.1916,11.337862962679292,12.0,8.0,14.0,17,5,2,0.1053064412517695
4,2390,Miami,ACC,12,1651.2036361842743,21.834,7,10.418,1718.34,1542.1783333333333,9.902633890234005,9.902633890234005,0.75975,0.56905,0.56905,0.75225,0.81155,0.81155,1.3805999999999998,10.471683890234006,0.0655,11.283233890234007,12.0,8.0,14.0,48,3,-1,0.07192530154873614
5,2483,Oregon,Big Ten,12,1687.5523267232966,25.276,4,10.159,1752.76,1575.95,9.945829005653232,9.945829005653232,0.5543,0.294,0.294,0.74355,0.99745,0.99745,1.29145,10.239829005653233,0.11655,11.237279005653233,11.0,8.0,14.0,20,4,-1,0.08876259097048354
6,84,Indiana,Big Ten,12,1695.9087873842316,23.14,6,10.08,1731.4,1554.1266666666668,9.885864233974386,9.885864233974386,0.44615,0.21295,0.21295,0.68035,0.8119,0.8119,1.02485,10.098814233974386,0.07535,10.910714233974385,11.0,8.0,14.0,35,6,0,0.07441309364256474
7,61,Georgia,SEC,12,1679.9385020005304,24.837,5,9.928,1748.37,1592.5833333333333,9.719271185589168,9.719271185589168,0.5644,0.30775,0.30775,0.66,0.85605,0.85605,1.1638,10.027021185589168,0.09865,10.883071185589168,11.0,8.0,14.0,15,7,0,0.07865886250321873
8,251,Texas,SEC,12,1647.6536906566275,26.914,2,9.753,1769.1399999999999,1618.5366666666666,9.40732834949615,9.40732834949615,0.53665,0.32935,0.32935,0.62365,0.95175,0.95175,1.2811,9.73667834949615,0.1356,10.688428349496151,11.0,7.0,14.0,2,8,0,0.08904489686220941
9,213,Penn State,Big Ten,12,1613.0482075409911,13.716,17,8.961,1637.16,1517.806666666667,8.925523084775273,8.925523084775273,0.1672,0.0422,0.0422,0.3032,0.2086,0.2086,0.2508,8.967723084775272,0.00605,9.176323084775273,9.0,7.0,12.0,67,10,1,0.02273241668507671
10,2439,UNLV,Mountain West,12,1577.9475737127705,1.791,58,8.977,1517.91,1417.3733333333332,8.657809072120493,8.657809072120493,0.63895,0.41825,0.41825,0.29665,0.08945,0.08945,0.5077,9.076059072120493,0.0002,9.165509072120493,9.0,6.0,12.0,120,9,-1,0.009759414266697707
11,333,Alabama,SEC,12,1630.2661046011833,20.126,8,8.617,1701.26,1604.8491666666669,8.512262847485294,8.512262847485294,0.2341,0.10075,0.10075,0.3206,0.3362,0.3362,0.43695,8.613012847485294,0.02205,8.949212847485294,9.0,6.0,12.0,7,12,1,0.0375675498761292
12,252,BYU,Big 12,12,1625.3054584126166,13.125,20,8.698,1631.25,1541.7333333333333,8.504829490081129,8.504829490081129,0.3975,0.16755,0.16755,0.30875,0.20495,0.20495,0.3725,8.672379490081129,0.0053,8.877329490081129,9.0,6.0,12.0,49,11,-1,0.0230868979493209
13,99,LSU,SEC,12,1564.2547522644318,20.034,9,8.408,1700.34,1602.3708333333332,8.364214779331705,8.364214779331705,0.19745,0.0863,0.0863,0.27815,0.2973,0.2973,0.3836,8.450514779331705,0.0208,8.747814779331705,8.0,6.0,12.0,11,14,1,0.03398563041165721
14,245,Texas A&M,SEC,12,1613.5211194029666,20.002,11,8.372,1700.02,1602.5441666666666,8.243485110989374,8.243485110989374,0.15225,0.06645,0.06645,0.2423,0.26175,0.26175,0.3282,8.309935110989374,0.0176,8.571685110989373,8.0,6.0,12.0,10,17,3,0.030536586051723023
15,2649,Toledo,MAC,12,1565.186888612266,-2.972,79,8.465,1470.28,1407.3291666666667,8.197758189755287,8.197758189755287,0.5299,0.32315,0.32315,0.15765,0.03405,0.03405,0.35719999999999996,8.520908189755287,0.0001,8.554958189755288,9.0,6.0,11.0,132,13,-2,0.003980148031673079
16,58,South Florida,American,12,1562.3653862349186,-0.949,73,8.404,1490.51,1420.3083333333334,8.29828887796521,8.29828887796521,0.27855,0.1426,0.1426,0.15045,0.0379,0.0379,0.1805,8.44088887796521,0.0,8.47878887796521,8.0,6.0,11.0,115,15,-1,0.0044699780293498085
17,30,USC,Big Ten,12,1593.116589512651,16.982,13,8.212,1669.82,1568.166666666667,8.225954468876882,8.225954468876882,0.10075,0.0358,0.0358,0.2124,0.1948,0.1948,0.2306,8.261754468876882,0.00945,8.456554468876883,8.0,6.0,11.0,26,19,2,0.02303538642326884
18,2567,SMU,ACC,12,1623.3408692534717,11.117,24,8.317,1611.17,1535.0800000000002,8.18720336157432,8.18720336157432,0.2965,0.10585,0.10585,0.20085,0.1201,0.1201,0.22594999999999998,8.29305336157432,0.00235,8.41315336157432,8.0,6.0,11.0,56,18,0,0.014275265746198897
19,2655,Tulane,American,12,1594.9819830148276,2.251,56,8.198,1522.51,1446.5233333333333,8.065451081259404,8.065451081259404,0.4469,0.2643,0.2643,0.1814,0.05815,0.05815,0.32244999999999996,8.329751081259404,0.00015,8.387901081259404,8.0,6.0,11.0,89,16,-3,0.006932604406830827
20,228,Clemson,ACC,12,1587.3371362190212,13.421,19,8.146,1634.21,1557.734166666667,8.11748960675531,8.11748960675531,0.22095,0.10115,0.10115,0.2119,0.1488,0.1488,0.24995,8.21863960675531,0.0043,8.36743960675531,8.0,6.0,11.0,33,21,1,0.017783217685834126
21,256,James Madison,Sun Belt,12,1641.3759079910224,-2.026,75,8.157,1479.74,1421.7466666666667,7.9933464025555,7.9933464025555,0.4279,0.26335,0.26335,0.1449,0.0313,0.0313,0.29464999999999997,8.2566964025555,0.0,8.2879964025555,8.0,6.0,11.0,113,20,-1,0.0037765460407715714
22,151,East Carolina,American,12,1561.243778493544,-0.564,68,8.003,1494.36,1440.9158333333335,7.891993079548553,7.891993079548553,0.3725,0.1865,0.1865,0.1076,0.0268,0.0268,0.2133,8.078493079548553,0.0,8.105293079548552,8.0,6.0,11.0,96,22,0,0.0033064813001793024
23,2426,Navy,American,12,1594.6544600833706,-0.712,69,7.948,1492.88,1446.5858333333333,7.82660356971971,7.82660356971971,0.3615,0.18265,0.18265,0.1113,0.02785,0.02785,0.21050000000000002,8.00925356971971,0.0,8.037103569719712,8.0,6.0,11.0,88,23,0,0.003465178687621572
24,62,Hawai'i,Mountain West,12,1523.2734238955168,-2.371,76,7.89,1476.29,1412.3533333333335,7.763164919657541,7.763164919657541,0.46155,0.22655,0.22655,0.0969,0.02285,0.02285,0.2494,7.9897149196575405,0.0,8.01256491965754,8.0,5.0,11.0,125,24,0,0.002851770965866522
25,130,Michigan,Big Ten,12,1601.2283210373141,15.875,15,7.837,1658.75,1583.1074999999998,7.805960231592829,7.805960231592829,0.0733,0.02595,0.02595,0.13385,0.11685,0.11685,0.14279999999999998,7.831910231592829,0.005,7.948760231592829,8.0,6.0,10.0,18,26,1,0.014700405672770527
26,68,Boise State,Pac-12,11,1582.2686603041427,4.045,50,7.757,1540.45,1479.7854545454547,7.436346847417866,7.436346847417866,0.63225,0.40685,0.40685,0.10955,0.03475,0.03475,0.4416,7.843196847417866,0.00015,7.877946847417866,8.0,5.0,10.0,72,25,-1,0.004411047786059882
27,254,Utah,Big 12,12,1624.8045522917819,8.451,31,7.728,1584.51,1531.1833333333334,7.712283390826298,7.712283390826298,0.1835,0.06385,0.06385,0.1301,0.0657,0.0657,0.12955,7.776133390826298,0.0007,7.841833390826298,8.0,5.0,10.0,59,28,1,0.008378142804826558
